termCode,termExtendedName,termShortName,termScopeNote,version,lastUpdate,validFrom,validTo,status,deprecated,scientificNames,commonNames,allFacets,ISSCAAP,taxonomicCode,alpha3Code,GEMSCode,matrixCode,LangualCode,foodexOldCode,implicitFacets,detailLevel,termType,prodTreat,prodMeth,prodPack,EuringsCode,IFNCode,EUFeedReg,EPPOCode,VectorNetCode,ADDFOODCode,masterFlag,masterParentCode,masterOrder,masterReportable,masterHierarchyCode,reportFlag,reportParentCode,reportOrder,reportReportable,reportHierarchyCode,pestFlag,pestParentCode,pestOrder,pestReportable,pestHierarchyCode,biomoFlag,biomoParentCode,biomoOrder,biomoReportable,biomoHierarchyCode,feedFlag,feedParentCode,feedOrder,feedReportable,feedHierarchyCode,expoFlag,expoParentCode,expoOrder,expoReportable,expoHierarchyCode,vetdrugFlag,vetdrugParentCode,vetdrugOrder,vetdrugReportable,vetdrugHierarchyCode,botanicFlag,botanicParentCode,botanicOrder,botanicReportable,botanicHierarchyCode,partFlag,partParentCode,partOrder,partReportable,partHierarchyCode,sourceFlag,sourceParentCode,sourceOrder,sourceReportable,sourceHierarchyCode,racsourceFlag,racsourceParentCode,racsourceOrder,racsourceReportable,racsourceHierarchyCode,processFlag,processParentCode,processOrder,processReportable,processHierarchyCode,ingredFlag,ingredParentCode,ingredOrder,ingredReportable,ingredHierarchyCode,mediumFlag,mediumParentCode,mediumOrder,mediumReportable,mediumHierarchyCode,sweetFlag,sweetParentCode,sweetOrder,sweetReportable,sweetHierarchyCode,fortFlag,fortParentCode,fortOrder,fortReportable,fortHierarchyCode,qualFlag,qualParentCode,qualOrder,qualReportable,qualHierarchyCode,cookextFlag,cookextParentCode,cookextOrder,cookextReportable,cookextHierarchyCode,genFlag,genParentCode,genOrder,genReportable,genHierarchyCode,prodFlag,prodParentCode,prodOrder,prodReportable,prodHierarchyCode,packformatFlag,packformatParentCode,packformatOrder,packformatReportable,packformatHierarchyCode,packmatFlag,packmatParentCode,packmatOrder,packmatReportable,packmatHierarchyCode,stateFlag,stateParentCode,stateOrder,stateReportable,stateHierarchyCode,fatFlag,fatParentCode,fatOrder,fatReportable,fatHierarchyCode,alcoholFlag,alcoholParentCode,alcoholOrder,alcoholReportable,alcoholHierarchyCode,doughFlag,doughParentCode,doughOrder,doughReportable,doughHierarchyCode,partconFlag,partconParentCode,partconOrder,partconReportable,partconHierarchyCode,placeFlag,placeParentCode,placeOrder,placeReportable,placeHierarchyCode,targconFlag,targconParentCode,targconOrder,targconReportable,targconHierarchyCode,useFlag,useParentCode,useOrder,useReportable,useHierarchyCode,riskingredFlag,riskingredParentCode,riskingredOrder,riskingredReportable,riskingredHierarchyCode,fpurposeFlag,fpurposeParentCode,fpurposeOrder,fpurposeReportable,fpurposeHierarchyCode,replevFlag,replevParentCode,replevOrder,replevReportable,replevHierarchyCode,animageFlag,animageParentCode,animageOrder,animageReportable,animageHierarchyCode,genderFlag,genderParentCode,genderOrder,genderReportable,genderHierarchyCode,legisFlag,legisParentCode,legisOrder,legisReportable,legisHierarchyCode,feedAddExpoFlag,feedAddExpoParentCode,feedAddExpoOrder,feedAddExpoReportable,feedAddExpoHierarchyCode,PRIMoFlag,PRIMoParentCode,PRIMoOrder,PRIMoReportable,PRIMoHierarchyCode,hostsampledFlag,hostsampledParentCode,hostsampledOrder,hostsampledReportable,hostsampledHierarchyCode,facets_resolved,termExtendedName_full,nlp_matching_friendly
A000A,Teff grain,,"Cereal grains from the plant classified under the species Eragrostis tef (Zucc.) Trotter, commonly known as Teff grain or Tef grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Teff£https://www.google.co.uk/search?tbm=isch&q=Teff",8.9,2017/07/20,2014/10/30,,APPROVED,0,Eragrostis tef (Zucc.) Trotter,Tef grain,A000A#F01.A059P$F02.A066Q$F27.A000A$F33.A0C4A,,,,GC0652,P0500040-008,,A.01.000028,F01.A059P$F27.A000A$F33.A0C4A,E,r,,,,,,,,,,1,A000Y,10,1,Z0001.0001.0001.0001.0001.0004.0010,1,A000Y,9,1,Z0001.0001.0001.0001.0005.0009,1.0,A000Y,9.0,1.0,Z0005.0004.0009,1.0,A000Y,9.0,1.0,Z0008.0001.0005.0009,,,,,,1.0,A000Y,9.0,1.0,Z0001.0001.0001.0004.0009,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,9.0,1.0,Z0001.0003.0009,,,,,,1.0,A000Y,9.0,1.0,Z0001.0001.0001.0005.0009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,9.0,0.0,Z0005.0004.0009,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059P"", ""name"": ""Teff (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000A"", ""name"": ""Teff grain""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Teff grain, flavour: fa 06.1 whole, broken, or flaked grain, part-nature: grains (as part nature), source: teff (as plant)",teff grain grains whole broken or flaked
A000B,Finger millet grain,,"Cereal grains from the plant classified under the species Eleusine coracana (L.) Gaertn subsp. coracan, commonly known as Finger millet grain or African millet grain or Koracan. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Eleusine_coracana£https://www.google.co.uk/search?tbm=isch&q=Finger+millet+grain",8.9,2017/07/20,2014/10/30,,APPROVED,0,Eleusine coracana (L.) Gaertn subsp. coracan,African millet grain$Koracan,A000B#F01.A059N$F02.A066Q$F27.A000B$F33.A0C4A,,,,GC0646,P0500040-003,,A.01.000028,F01.A059N$F27.A000B$F33.A0C4A,E,r,,,,,,,,,,1,A000Y,5,1,Z0001.0001.0001.0001.0001.0004.0005,1,A000Y,4,1,Z0001.0001.0001.0001.0005.0004,1.0,A000Y,4.0,1.0,Z0005.0004.0004,1.0,A000Y,4.0,1.0,Z0008.0001.0005.0004,,,,,,1.0,A000Y,4.0,1.0,Z0001.0001.0001.0004.0004,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,4.0,1.0,Z0001.0003.0004,,,,,,1.0,A000Y,4.0,1.0,Z0001.0001.0001.0005.0004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,4.0,0.0,Z0005.0004.0004,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059N"", ""name"": ""Millet, finger (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000B"", ""name"": ""Finger millet grain""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Finger millet grain, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: finger millet grain, part-nature: grains (as part nature), source: millet, finger (as plant)",finger millet grain grains whole broken or flaked
A000C,African millet grain,,"The term is deprecated. Corn salad as living plant including all members of the taxonomic group Valeriana locusta (L.) Laterrade, Valerianella olitoria. The part considered is by default the whole living organism.£https://en.wikipedia.org/wiki/Valeriana_locusta",10.0,2019/01/21,2014/10/30,2019/01/21,DEPRECATED,1,Eleusine coracana subsp. Africana,,A000C#F01.A059Q$F02.A066Q$F27.A000C,,,,GC4601,P0500040-003,,A.01.000028,F01.A059Q$F27.A000C,E,r,,,,,,,,,,1,A000B,1,1,Z0001.0001.0001.0001.0001.0004.0005.0001,1,A000B,1,1,Z0001.0001.0001.0001.0005.0004.0001,1.0,A000B,1.0,1.0,Z0005.0004.0004.0001,1.0,A000B,1.0,1.0,Z0008.0001.0005.0004.0001,,,,,,1.0,A000B,1.0,1.0,Z0001.0001.0001.0004.0004.0001,,,,,,,,,,,,,,,,,,,,,1.0,A000B,1.0,1.0,Z0001.0003.0004.0001,,,,,,1.0,A000B,1.0,1.0,Z0001.0001.0001.0005.0004.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000B,1.0,0.0,Z0005.0004.0004.0001,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059Q"", ""name"": ""Millet, african (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000C"", ""name"": ""African millet grain""}]","African millet grain, geographical-origin: african millet grain, part-nature: grains (as part nature), source: millet, african (as plant)",african millet grain grains
A000D,Foxtail millet grain,,"Cereal grains from the plant classified under the species Setaria italica (L.) P.Beauv., commonly known as Foxtail millet grain or Foxtail millet. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Foxtail_millet£https://www.google.co.uk/search?tbm=isch&q=Foxtail+millet+grain",8.9,2017/07/20,2014/10/30,,APPROVED,0,Setaria italica (L.) P.Beauv.,Foxtail millet,A000D#F01.A059R$F02.A066Q$F27.A000D$F33.A0C4A,,,,GC0646,P0500040-004,,A.01.000028,F01.A059R$F27.A000D$F33.A0C4A,E,r,,,,,,,,,,1,A000Y,6,1,Z0001.0001.0001.0001.0001.0004.0006,1,A000Y,5,1,Z0001.0001.0001.0001.0005.0005,1.0,A000Y,5.0,1.0,Z0005.0004.0005,1.0,A000Y,5.0,1.0,Z0008.0001.0005.0005,,,,,,1.0,A000Y,5.0,1.0,Z0001.0001.0001.0004.0005,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,5.0,1.0,Z0001.0003.0005,,,,,,1.0,A000Y,5.0,1.0,Z0001.0001.0001.0005.0005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,5.0,0.0,Z0005.0004.0005,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059R"", ""name"": ""Millet, foxtail (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000D"", ""name"": ""Foxtail millet grain""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Foxtail millet grain, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: foxtail millet grain, part-nature: grains (as part nature), source: millet, foxtail (as plant)",foxtail millet grain grains whole broken or flaked
A000E,Little millet grain,,"Cereal grains from the plant classified under the species Panicum sumatrense Roth, commonly known as Little millet grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Little_millet£https://www.google.co.uk/search?tbm=isch&q=Little+millet",8.9,2017/07/20,2014/10/30,,APPROVED,0,Panicum sumatrense Roth,,A000E#F01.A059S$F02.A066Q$F27.A000E$F33.A0C4A,,,,GC0646,P0500040-006,,A.01.000028,F01.A059S$F27.A000E$F33.A0C4A,E,r,,,,,,,,,,1,A000Y,8,1,Z0001.0001.0001.0001.0001.0004.0008,1,A000Y,7,1,Z0001.0001.0001.0001.0005.0007,1.0,A000Y,7.0,1.0,Z0005.0004.0007,1.0,A000Y,7.0,1.0,Z0008.0001.0005.0007,,,,,,1.0,A000Y,7.0,1.0,Z0001.0001.0001.0004.0007,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,7.0,1.0,Z0001.0003.0007,,,,,,1.0,A000Y,7.0,1.0,Z0001.0001.0001.0005.0007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000Y,7.0,0.0,Z0005.0004.0007,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059S"", ""name"": ""Millet, little (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000E"", ""name"": ""Little millet grain""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Little millet grain, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: little millet grain, part-nature: grains (as part nature), source: millet, little (as plant)",little millet grain grains whole broken or flaked
A000F,Oat and similar-,,"The group includes any type of grain from Oat or species similar to Oat or sharing the same pesticide MRL, as defined by the EU pesticide regulation.£https://en.wikipedia.org/wiki/Oat£https://www.google.co.uk/search?tbm=isch&q=Oat grain",8.9,2017/07/20,2014/10/30,,APPROVED,0,,,A000F#F01.A058Z$F02.A066Q$F27.A000F$F33.A0C4A,,,,GC0647,P0500050,,A.01.000029,F27.A000F$F33.A0C4A,C,r,,,,,,,,,,1,A000L,6,1,Z0001.0001.0001.0001.0001.0006,1,A000L,6,1,Z0001.0001.0001.0001.0006,1.0,A000L,5.0,1.0,Z0005.0005,1.0,A000L,6.0,1.0,Z0008.0001.0006,,,,,,1.0,A000L,6.0,1.0,Z0001.0001.0001.0006,,,,,,,,,,,,,,,,,,,,,1.0,A000L,5.0,1.0,Z0001.0005,,,,,,1.0,A000L,6.0,1.0,Z0001.0001.0001.0006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000L,5.0,1.0,Z0005.0005,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A058Z"", ""name"": ""Cereals and similar (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000F"", ""name"": ""Oat and similar-""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Oat and similar-, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: oat and similar , part-nature: grains (as part nature), source: cereals and similar (as plant)",oat and similar cereals grains whole broken or flaked grain
A000G,Oat grain,,"Cereal grains from the plant classified under the species Avena sativa L., commonly known as Oat grain or Cultivated oat. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Oat£https://www.google.co.uk/search?tbm=isch&q=Oat grain",8.9,2017/07/20,2014/10/30,,APPROVED,0,Avena sativa L.,Cultivated oat,A000G#F01.A059V$F02.A066Q$F27.A000G$F33.A0C4A,,,,GC0647,P0500050-000,,A.01.000029,F01.A059V$F27.A000G$F33.A0C4A,E,r,,,,,,,,,,1,A000F,1,1,Z0001.0001.0001.0001.0001.0006.0001,1,A000F,1,1,Z0001.0001.0001.0001.0006.0001,1.0,A000F,1.0,1.0,Z0005.0005.0001,1.0,A000F,1.0,1.0,Z0008.0001.0006.0001,,,,,,1.0,A000F,1.0,1.0,Z0001.0001.0001.0006.0001,,,,,,,,,,,,,,,,,,,,,1.0,A000F,1.0,1.0,Z0001.0005.0001,,,,,,1.0,A000F,1.0,1.0,Z0001.0001.0001.0006.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000F,1.0,0.0,Z0005.0005.0001,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059V"", ""name"": ""Oat (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000G"", ""name"": ""Oat grain""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Oat grain, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: oat grain, part-nature: grains (as part nature), source: oat (as plant)",oat grain grains whole broken or flaked
A000H,"Oat grain, red",,"Cereal grains from the plant classified under the species Avena byzantina K. Koch, commonly known as Oat grain, red. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Avena£https://www.google.co.uk/search?tbm=isch&q=Avena byzantina grain",8.9,2017/07/20,2014/10/30,,APPROVED,0,Avena byzantina K. Koch,,A000H#F01.A059X$F02.A066Q$F27.A000H$F33.A0C4A,,,,GC0647,P0500050,,A.01.000029,F01.A059X$F27.A000H$F33.A0C4A,E,r,,,,,,,,,,1,A000F,2,1,Z0001.0001.0001.0001.0001.0006.0002,1,A000F,2,1,Z0001.0001.0001.0001.0006.0002,1.0,A000F,2.0,1.0,Z0005.0005.0002,1.0,A000F,2.0,1.0,Z0008.0001.0006.0002,,,,,,1.0,A000F,2.0,1.0,Z0001.0001.0001.0006.0002,,,,,,,,,,,,,,,,,,,,,1.0,A000F,2.0,1.0,Z0001.0005.0002,,,,,,1.0,A000F,2.0,1.0,Z0001.0001.0001.0006.0002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,A000F,2.0,0.0,Z0005.0005.0002,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A059X"", ""name"": ""Oat, red (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000H"", ""name"": ""Oat grain, red""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Oat grain, red, flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: oat grain, red, part-nature: grains (as part nature), source: oat, red (as plant)",oat grain red grains whole broken or flaked
A000J,Grains and grain-based products,,"The category covers all cereals and cereal-like grains in all their forms, including derivatives and cereal-based products. So, this category contains the raw commodities as well as the primary derivatives of them, like flours, semolina, germ and bran. Moreover, products mainly obtained from cereals and cereal-like grains are included, regardless if they are simple composites, like bread, breakfast cereals and pasta, or complex composites, like filled fine bakery products. The latter are included because of their perceived nature according to tradition.£https://en.wikipedia.org/wiki/Cereal£https://www.google.co.uk/search?tbm=isch&q=Grains+grain+based+products",8.9,2017/07/20,2014/10/30,,APPROVED,0,,,A000J,,,,,,,A.01.000001,,H,g,,,,,,,,,,1,A0C64,30,1,Z0001.0005.0002.0030,1,,1,0,Z0001.0001,,,,,,,,,,,,,,,,1.0,root,1.0,1.0,Z0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,root,1.0,1.0,Z0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,[],Grains and grain-based products,grains and grain based products
A000L,Cereal grains (and cereal-like grains),,"The group includes any type of Cereal grain and cereal-like grain. The part consumed/analysed is not specified. When relevant, information on the part consumed/analysed has to be reported with additional facet descriptors. In case of data collections related to legislations, the default part consumed/analysed is the one defined in the applicable legislation.£https://en.wikipedia.org/wiki/Grain£https://www.google.co.uk/search?tbm=isch&q=Cereal+grains+cereal+like+grains",8.9,2017/07/20,2014/10/30,,APPROVED,0,,,A000L#F01.A058Z$F02.A066Q$F27.A000L$F33.A0C4A,,,,GC0080,P0500000,,A.01.000013,F01.A058Z$F02.A066Q$F27.A000L$F33.A0C4A,M,r,,,,,,,,,,1,A0ETB,1,1,Z0001.0001.0001.0001.0001,1,A0EZF,1,1,Z0001.0001.0001.0001,1.0,root,5.0,1.0,Z0005,1.0,A0EZF,1.0,1.0,Z0008.0001,,,,,,1.0,A000K,1.0,1.0,Z0001.0001.0001,,,,,,,,,,,,,,,,,,,,,1.0,root,1.0,1.0,Z0001,,,,,,1.0,A0EZF,1.0,1.0,Z0001.0001.0001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,root,5.0,1.0,Z0005,,,,,,"[{""facet_cat"": ""F01"", ""facet_label"": ""source"", ""code"": ""A058Z"", ""name"": ""Cereals and similar (as plant)""}, {""facet_cat"": ""F02"", ""facet_label"": ""part-nature"", ""code"": ""A066Q"", ""name"": ""Grains (as part-nature)""}, {""facet_cat"": ""F27"", ""facet_label"": ""geographical-origin"", ""code"": ""A000L"", ""name"": ""Cereal grains (and cereal-like grains)""}, {""facet_cat"": ""F33"", ""facet_label"": ""flavour"", ""code"": ""A0C4A"", ""name"": ""FA-06.1 Whole, broken, or flaked grain""}]","Cereal grains (and cereal-like grains), flavour: fa 06.1 whole, broken, or flaked grain, geographical-origin: cereal grains (and cereal like grains), part-nature: grains (as part nature), source: cereals and similar (as plant)",cereal grains cereals and similar whole broken or flaked grain
